BTW_BUND 17;
Zwischenergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
235;Weiden;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Bamberg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;Bayreuth;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Coburg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Hof;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;Kulmbach;9;170332;172449;170332;172449;135075;122307;135075;122307;1402;1225;1164;1207;133673;121082;133911;121100;;;;;21493;27587;23676;26030;5057;3616;6426;4392;5880;4845;7967;6396;74105;68903;58108;63378;5381;1996;10334;4513;15497;3829;18000;4800;;2212;422;2316;;2013;736;2017;4197;3533;3565;3476;;;1204;889;2063;1430;932;856;;;999;;;1118;520;758;;;;;;;;120;;;54;28;;;15;12;;;;;;;;;;;;;;;;;;;;;;;148;;;;154;;;;17;;;;247;;;;;;;;;;;;;;;;;;;;;;;;199;;;;188;;;;;;;;;;;;;122;;;;;;;;307;;;;;;;;;;;;;;;;690;
241;Ansbach;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Erlangen;9;180176;179506;180176;179506;148057;135186;148057;135186;899;863;687;937;147158;134323;147370;134249;;;;;30957;35377;25579;32638;8633;5611;11115;5840;16180;11980;19862;15395;62772;65151;52412;55940;8713;2990;14973;7440;11670;4393;13953;5590;1353;3216;678;3311;;957;363;917;4229;4079;3236;3684;;;1165;901;2651;;1266;1144;;;1237;;;569;282;507;;;;;;;;113;;;66;45;;;22;26;;;;;;;;;;;;;;;;;;;;;;;215;;;;299;;;;16;;;;222;;;;;;;;;;;;;;;;;;;;;;;;146;;;;263;;;;;;;;;;;;;126;;;;;;;;222;;;;;;;;;;;;;;;;410;
243;Fürth;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;Nürnberg-Nord;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;Nürnberg-Süd;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Roth;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Aschaffenburg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;Bad Kissingen;9;214956;217994;214956;217994;171210;155355;171210;155355;1800;1822;1307;1733;169410;153533;169903;153622;;;;;32388;30564;26907;27931;9071;6930;10088;6946;11988;12127;11360;9874;86602;88911;75793;82760;9507;4391;15081;7342;17770;;19653;4988;;3562;617;2980;;2789;929;2018;;4259;4064;4129;;;1427;919;2084;;1084;1119;;;1074;;;;494;756;;;;;;;;239;;;39;40;;;26;27;;;;;;;;;;;;;;;;;;;;;;;196;;;;188;;;;18;;;;312;;;;;;;;;;;;;;;;;;;;;;;;280;;;;273;;;;;;;;;;;;;167;;;;;;;;311;;;;;;;;;;;;;;;;1076;
249;Main-Spessart;9;195908;197762;195908;197762;157180;143137;157180;143137;1811;2024;1221;1707;155369;141113;155959;141430;;;;;35147;32812;28900;30486;7525;4426;8569;4839;11050;8810;11939;9972;72397;73001;65243;69953;7692;3632;13718;6413;14077;4652;16856;5583;;2822;493;2670;;1360;455;1404;5492;8045;4511;5619;;;1373;1119;1989;;946;915;;;1045;;;;345;525;;;;;;;;166;;;52;25;;;21;31;;;;;;;;;;;;;;;;;;;;;;;187;;;;170;;;;19;;;;345;;;;;;;;;;;;;;;;;;;;;;;;265;;;;507;;;;;;;;;;;;;167;;;;;;;;301;;;;;;;;;;;;;;1553;;1242;
250;Schweinfurt;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;Würzburg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;0;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;Augsburg-Stadt;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Augsburg-Land;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;Donau-Ries;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;Neu-Ulm;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
256;Oberallgäu;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;Ostallgäu;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
9;Bayern;99;1821748;1823719;1821748;1823719;1411035;1247077;1411035;1247077;13499;13377;9727;11272;1397536;1233700;1401308;1235805;;;;;249892;244362;209323;226914;64476;40115;76252;43406;93386;77472;104787;83763;670056;710489;587636;656638;76601;26783;124994;55761;165135;26321;191482;48685;1353;22157;4147;21347;0;14580;4886;13161;32388;42429;40099;38300;;;11504;8529;26839;17096;14243;14577;0;772;7719;;17410;7654;13868;12431;;;;;;;;1381;0;;316;248;0;;177;235;;;;;;;;;;;;;;;;;;;;;;;1531;;;;1667;;;;159;;;;2366;;;;;;;;;;;;;;;;;;;;;;;;1788;;;;2364;;0;;;;;;;;0;;;1367;;;;;;;;2286;;;;;;;;;0;;;;;3470;;6776;
;
258;Stuttgart I;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Stuttgart II;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;Böblingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;Esslingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;Nürtingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;Göppingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;Waiblingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Ludwigsburg;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;Neckar-Zaber;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;Heilbronn;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;Schwäbisch Hall – Hohenlohe;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;Backnang – Schwäbisch Gmünd;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;Aalen – Heidenheim;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;Karlsruhe-Stadt;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Karlsruhe-Land;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Rastatt;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Heidelberg;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;Mannheim;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;Odenwald – Tauber;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;Rhein-Neckar;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;Bruchsal – Schwetzingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;Pforzheim;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;Calw;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;Freiburg;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;Lörrach – Müllheim;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Emmendingen – Lahr;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;Offenburg;8;205551;205119;205551;205119;155717;145259;155717;145259;2122;2386;2082;2437;153595;142873;153635;142822;73925;80083;57030;68973;26531;28862;25404;27448;8263;6083;8412;6762;19382;14111;21221;15311;;;;;9595;3063;16932;8140;15899;5563;17799;7743;;2836;651;3028;;1471;358;1318;;801;1301;852;;;1449;1244;;;380;350;;;961;;;;;;;;;332;;;;309;;;35;32;;;;14;;;;;;;50;;;;;;;;395;;;;;;;;239;;;;174;;;;27;;;;342;;;;;;;;;;;;;;;;232;;;;;;;;;;;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;966;
285;Rottweil – Tuttlingen;8;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;0;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
